Date,AAPL,BTC-USD,JNJ,SPY,XOM
2020-01-02,72.4005126953125,6985.47021484375,123.29020690917969,297.6989440917969,53.30641555786133
2020-01-03,71.69664001464844,7344.88427734375,121.8627700805664,295.44476318359375,52.87785339355469
2020-01-06,72.26793670654297,7769.21923828125,121.71074676513672,296.5719909667969,53.28384780883789
2020-01-07,71.92803955078125,8163.6923828125,122.45396423339844,295.738037109375,52.847782135009766
2020-01-08,73.0850830078125,8079.86279296875,122.43712615966797,297.314208984375,52.050811767578125
2020-01-09,74.63748931884766,7879.0712890625,122.80030822753906,299.3301086425781,52.44930648803711
2020-01-10,74.80624389648438,8166.55419921875,122.52159118652344,298.46875,51.98313522338867
2020-01-13,76.4043960571289,8144.1943359375,123.06216430664062,300.5213623046875,52.479366302490234
2020-01-14,75.37271118164062,8827.7646484375,123.75471496582031,300.06317138671875,52.02825927734375
2020-01-15,75.04969024658203,8807.0107421875,124.16863250732422,300.74127197265625,51.94554901123047
2020-01-16,75.98981475830078,8723.7861328125,125.17369842529297,303.2430419921875,51.7425537109375
2020-01-17,76.83108520507812,8929.0380859375,125.99299621582031,304.1867980957031,51.54706954956055
2020-01-21,76.31040954589844,8745.89453125,126.07748413085938,303.5911865234375,50.81025695800781
2020-01-22,76.5827865600586,8680.8759765625,125.2159423828125,303.6278991699219,50.51703643798828
2020-01-23,76.95162963867188,8406.515625,125.45243072509766,303.9760437011719,50.20125961303711
2020-01-24,76.72982788085938,8445.4345703125,125.27506256103516,301.2727355957031,49.8629264831543
2020-01-27,74.47358703613281,8909.8193359375,125.63826751708984,296.443603515625,48.674991607666016
2020-01-28,76.58038330078125,9358.58984375,126.27174377441406,299.5500793457031,48.60731506347656
2020-01-29,78.18339538574219,9316.6298828125,127.15010070800781,299.3026123046875,48.20132064819336
2020-01-30,78.07008361816406,9508.9931640625,126.99808502197266,300.2738952636719,48.712581634521484
2020-01-31,74.60858917236328,9350.529296875,125.7396011352539,294.8216552734375,46.705142974853516
2020-02-03,74.40367889404297,9293.521484375,126.83758544921875,297.01171875,45.660057067871094
2020-02-04,76.86000061035156,9180.962890625,128.04544067382812,301.53857421875,45.088645935058594
2020-02-05,77.48676300048828,9613.423828125,130.06405639648438,305.02069091796875,47.16375732421875
2020-02-06,78.39311218261719,9729.8017578125,129.67555236816406,306.0470275878906,46.52468490600586
2020-02-07,77.32752990722656,9795.943359375,128.2903594970703,304.4158935546875,46.216434478759766
2020-02-10,77.69482421875,9856.611328125,128.2650604248047,306.6883850097656,45.72833251953125
2020-02-11,77.22605895996094,10208.236328125,128.37484741210938,307.219970703125,46.16304016113281
2020-02-12,79.06001281738281,10326.0546875,127.61471557617188,309.1993103027344,46.72740936279297
2020-02-13,78.49701690673828,10214.3798828125,126.77003479003906,308.8695068359375,46.46809768676758
2020-02-14,78.51634216308594,10312.1162109375,126.8038330078125,309.3643493652344,46.25456237792969
2020-02-18,77.07868194580078,10141.99609375,125.96765899658203,308.56707763671875,45.66732406616211
2020-02-19,78.19496154785156,9633.38671875,125.7987060546875,310.0423889160156,46.01814270019531
2020-02-20,77.39279174804688,9608.4755859375,125.31729888916016,308.7687072753906,45.65206527709961
2020-02-21,75.6409912109375,9686.44140625,126.63490295410156,305.5889892578125,45.095340728759766
2020-02-24,72.04802703857422,9650.1748046875,124.02537536621094,295.4539794921875,42.98280334472656
2020-02-25,69.60760498046875,9341.705078125,122.9543228149414,286.5010070800781,41.335487365722656
2020-02-26,70.7118148803711,8820.5224609375,122.12982940673828,285.4471435546875,40.42792892456055
2020-02-27,66.08952331542969,8784.494140625,118.2538070678711,272.62725830078125,37.995086669921875
2020-02-28,66.05084228515625,8672.455078125,114.30970001220703,271.48193359375,39.23057556152344
2020-03-02,72.20023345947266,8869.669921875,119.01876831054688,283.23876953125,41.0914421081543
2020-03-03,69.90719604492188,8787.7861328125,115.25321197509766,275.12896728515625,39.12380599975586
2020-03-04,73.14984893798828,8755.24609375,121.95979309082031,286.6934509277344,39.97798156738281
2020-03-05,70.77706909179688,9078.7626953125,120.71031188964844,277.1632385253906,38.21625900268555
2020-03-06,69.8371353149414,9122.5458984375,120.72731018066406,272.58148193359375,36.37065124511719
2020-03-09,64.31359100341797,7923.64453125,115.97573852539062,251.2943572998047,31.924415588378906
2020-03-10,68.94552612304688,7909.7294921875,120.39579772949219,264.2975769042969,33.10652542114258
2020-03-11,66.551025390625,7911.43017578125,112.03166198730469,251.41343688964844,32.01594161987305
2020-03-12,59.97880935668945,4970.7880859375,106.60011291503906,227.35890197753906,28.3552303314209
2020-03-13,67.16474151611328,5563.70703125,114.14823150634766,246.79498291015625,29.072113037109375
2020-03-16,58.524227142333984,5014.47998046875,108.06211853027344,219.78976440429688,26.3037109375
2020-03-17,61.09752655029297,5225.62939453125,116.10325622558594,231.65672302246094,28.073049545288086
2020-03-18,59.60186004638672,5238.4384765625,114.71774291992188,219.92726135253906,25.258880615234375
2020-03-19,59.14519500732422,6191.19287109375,107.9941177368164,220.39454650878906,26.25794792175293
2020-03-20,55.39033126831055,6198.7783203125,101.90802001953125,210.89678955078125,24.969074249267578
2020-03-23,54.21360778808594,6416.31494140625,94.47042083740234,205.50457763671875,23.985261917114258
2020-03-24,59.652610778808594,6734.8037109375,101.30452728271484,224.1239776611328,27.028213500976562
2020-03-25,59.32399368286133,6681.06298828125,101.49153900146484,227.47915649414062,28.439119338989258
2020-03-26,62.44581604003906,6716.4404296875,107.58610534667969,240.76161193847656,29.60596466064453
2020-03-27,59.86040496826172,6469.79833984375,104.68757629394531,233.59034729003906,28.17981719970703
2020-03-30,61.56871032714844,6429.841796875,113.0602035522461,241.1763458251953,28.599279403686523
