Date,AAPL,BTC-USD,JNJ,SPY,XOM
2020-01-03,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,,,,,
2020-01-10,,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-21,,,,,
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-03,,,,,
2020-02-04,,,,,
2020-02-05,,,,,
2020-02-06,,,,,
2020-02-07,,,,,
2020-02-10,,,,,
2020-02-11,,,,,
2020-02-12,,,,,
2020-02-13,,,,,
2020-02-14,0.26281553356523724,0.45546236865359746,0.10132112274561292,0.11813690351589336,0.23351730741809176
2020-02-18,0.26757706709036894,0.449174711707083,0.0968436219591138,0.11572846419097255,0.23449855503717784
2020-02-19,0.2693779574601363,0.4627206848591798,0.09686381668296921,0.11593222690105599,0.23450043713322605
2020-02-20,0.27118596030908787,0.44560085073684313,0.09669363125934043,0.11641137898109438,0.23447292276229587
2020-02-21,0.2776597447908767,0.44313265941395114,0.10062649041480756,0.12065427785701605,0.23350573819028608
2020-02-24,0.3062956132330554,0.4342849208404529,0.11881718280128288,0.15561121839173744,0.26173748619657644
2020-02-25,0.32085738310175876,0.43964540413325487,0.12145485334335392,0.17870272751678135,0.278108349998585
2020-02-26,0.3177817236286348,0.4746079830661855,0.12232373027920625,0.17709457758560287,0.27630132762426984
2020-02-27,0.36854352065973106,0.4132656507894093,0.1521379229537384,0.21861977073606073,0.31664531350698116
2020-02-28,0.36870784111405525,0.4148619900393402,0.17794531082566045,0.21802058676857583,0.33901337708227464
2020-03-02,0.4554399459505458,0.4191773184268571,0.21565598664903116,0.2534564097077846,0.37536911848551646
2020-03-03,0.4621670389151939,0.41444381464740937,0.23142260419905816,0.26442151059727703,0.3937762038594141
2020-03-04,0.48283162198339324,0.41015169703781107,0.28867069347723756,0.2942558680952623,0.40334466447042283
2020-03-05,0.4911035775598294,0.42261076535960224,0.2894375437453523,0.3083161163864153,0.417303825024356
2020-03-06,0.49153796530396693,0.41046907128935756,0.28931881320729746,0.310529850134141,0.4330845950794601
2020-03-09,0.5424307735257512,0.5844357111963904,0.3104866742606391,0.3835371895117338,0.5544334782589626
2020-03-10,0.5795009499965798,0.5601482843081552,0.33118459184355165,0.4155281121205341,0.5730564561338126
2020-03-11,0.5795964149711879,0.5373218656830824,0.3884502802811338,0.433993386844448,0.575030073139182
2020-03-12,0.6414872290193006,1.4349695478036604,0.40875838886747246,0.5130578674266415,0.653544993783392
2020-03-13,0.7324947531207066,1.4822141759296823,0.4620033511054231,0.5765039515915311,0.6602589695025839
2020-03-16,0.8203297322059345,1.503037647569491,0.4850978649053808,0.6574920329462497,0.6994691328268624
2020-03-17,0.8335453525616895,1.5132832339467464,0.5327395556328938,0.6804004964557966,0.7406646148158162
2020-03-18,0.8267297960254671,1.514465823410876,0.5320235569587416,0.6880808509386849,0.784501335438081
2020-03-19,0.8252400230258375,1.5977971495649472,0.5532681511617237,0.6860119063408257,0.7802764037596528
2020-03-20,0.8387009687566829,1.5965341875757608,0.5731169517965831,0.691230801537355,0.785104510682689
2020-03-23,0.8391745992468325,1.6018355000623627,0.6058563733415097,0.6919713825423196,0.7858910025771193
2020-03-24,0.8942866489746013,1.6111434524499013,0.648419089533559,0.748289957019801,0.8860773609511922
2020-03-25,0.8943020889978937,1.60487561153175,0.6485409719538117,0.7511096234185692,0.9049729273306765
2020-03-26,0.9065706740800499,1.6041170510762655,0.6763144470732757,0.7744798652260578,0.9161816681870417
2020-03-27,0.9120326056183105,1.605462752114939,0.6792138698535998,0.7767112258519291,0.9209577451248752
2020-03-30,0.9180618209348252,1.6040032549113448,0.7208120655724743,0.7853532483248991,0.9248690845289305
2020-03-31,0.9176836258186305,1.604765007416988,0.7214065115923887,0.7853934221941063,0.928523366923248
2020-04-01,0.9248732310559954,1.605192473810121,0.7224484204369593,0.791597870553123,0.926079776711003
