,Final Portfolio Value
163,120527.90777914082
164,137492.29740394198
165,92244.1587612446
166,68544.72171640351
167,96595.8088661704
168,104838.22032108474
169,124135.04126504582
170,118866.47703435674
171,148290.29895130964
172,112489.80822191563
173,178728.71495974445
174,129983.29458930726
175,105368.51892297843
176,125711.64120019738
177,129963.63609062141
178,101434.49966674931
179,144206.01489108754
180,139701.34000549314
181,104052.6040976343
182,106435.53560086721
183,98710.57618512113
184,86511.43170115561
185,133016.55684664406
186,73358.12510734193
187,109932.24342319084
188,108522.30254052726
189,117265.05024920903
190,114661.65899622854
191,74949.99005491631
192,105542.6490749416
193,121018.40090582597
194,141313.87264746032
195,171038.18950510622
196,102539.45421506323
197,149070.52236075923
198,88408.09804623353
199,112545.46996116971
200,81649.95267274864
201,117521.53567119056
202,129418.7131892395
203,145778.25044913546
204,103734.13454790533
205,146486.71217100602
206,112220.88284677768
207,114298.83201699164
208,119569.86601896753
209,167069.04269100697
210,143471.17662946836
211,94203.44876418453
212,106662.99397395618
213,133000.4766150472
214,97361.60189525763
215,113462.64928186334
216,174836.89775552473
217,123620.2532918246
218,164540.15827867246
219,105769.24706663596
220,178448.48041319
221,160159.71910526985
222,168961.32439857317
223,144934.9376962332
224,110093.48365736601
225,175156.3009424848
226,118984.18681826806
227,177403.63637638217
228,104806.9630903036
229,201437.11473291
230,122750.84453718852
231,127511.90449508764
232,128313.59022894004
233,128613.25011327458
234,154889.4600614617
235,151295.97077277774
236,151133.74231704965
237,128124.00616704472
238,184512.5096442391
239,110757.81526648958
240,94736.55187548982
241,110936.87955392571
242,137466.06697993772
243,171629.71383060687
244,104667.77320370894
245,195004.4086388629
246,134022.82926493615
247,147402.07510158696
248,115647.60905613397
249,71648.5365567438
250,91787.83010831561
251,70946.68853955886
252,124337.5289610555
253,145791.36269668714
254,131064.25504504176
255,143509.96212524528
256,94740.14411005008
257,119656.12519505912
258,106514.40407171102
259,120291.02363284337
260,138462.24580839716
261,138995.5315666871
262,95969.73471802249
263,106420.90964805827
264,141779.8022875955
265,132468.97211993427
266,115830.51348830084
267,89308.46652488282
268,135216.26054713444
269,101229.34191347663
270,112308.59042123171
271,142935.6979270807
272,159283.22918873047
273,105317.17019236712
274,81283.87575363742
275,112165.73576404512
276,120175.33259881791
277,87275.93244874189
278,117648.49940453366
279,120005.4230472709
280,116685.41264620062
281,128260.56665173513
282,116343.52760268156
283,142383.91416527517
284,109214.54570806136
285,122361.77283780815
286,218403.05583395492
287,139090.40164178397
288,135375.98936717064
289,118784.2589401201
290,125138.66057078356
291,106138.39328805747
292,108400.25388279663
293,112476.62646322578
294,99816.26713473571
295,92965.73626278953
296,107142.37816814907
297,115742.84288875795
298,83446.64319455686
299,88558.00740158827
300,127146.97958096462
301,98360.83406916646
302,160656.16196242414
303,160909.39419395014
304,141581.31962468324
305,154059.39319551448
306,147830.56140260352
307,147821.71763960057
308,120783.22026894575
309,110086.66498344441
310,92967.5033592365
311,120405.20262144833
312,144737.2544805144
313,81328.34955132731
314,153615.32189498618
315,124352.70480474307
316,76698.3777584406
317,91916.49021689862
318,161047.26073052007
319,113718.01397759463
320,187729.76377949762
321,211059.122833944
322,112033.43391533036
323,84694.78977363276
324,92562.90871900096
325,117578.9585352473
326,137323.93363939534
327,121009.8549739655
328,99922.57280540347
329,181998.20306493508
330,122374.8293448115
331,119311.7736711045
332,142989.47644233037
333,147112.37470842732
334,128274.53642895787
335,124546.14940873117
336,177622.7997730298
337,107377.6731495405
338,167126.0253181595
339,102116.39627560125
340,119144.26887192993
341,91493.59295624917
342,85492.73340977966
343,170210.38616737846
344,132781.10782740024
345,104515.80428324782
346,85226.37496457477
347,121008.23147936692
348,117566.42126693184
349,185057.69131755113
350,118237.36943256413
351,85242.74667227382
352,123108.75856923456
353,125214.28206875833
354,106449.50808243912
355,127565.47235609825
356,120081.69515467601
357,200816.515927047
358,123850.10062712769
359,63518.306355871726
360,151084.0807711316
361,125609.2605012776
362,110573.09572367351
363,97157.14309944947
364,208395.46392714462
365,120190.4235061366
366,146210.80300041923
367,126085.69549266747
368,135450.7158315317
369,139670.8983899598
370,121921.31950103835
371,94798.28267756771
372,151992.66566665904
373,120996.95927450669
374,186488.24991472298
375,231946.2499350596
376,117846.68900734358
377,128152.00144970817
378,92202.35430521099
379,113935.09334847711
380,155701.0202921488
381,95200.04045774811
382,149741.42583643325
383,125602.90512141548
384,118100.15287485783
385,120139.24104771827
386,72547.88127718757
387,146409.39134095333
388,107415.7662818319
389,96054.56892028758
390,116637.32082404078
391,90542.45923891157
392,162727.70325095888
393,81215.78641349929
394,113675.9385551168
395,86430.22808219022
396,123225.91904007654
397,161189.50150013805
398,153154.87091237033
399,181185.52363054547
400,133681.16302304994
401,79412.38613852582
402,175465.48061838764
403,117659.55891646724
404,166463.64501208326
405,87794.98036227183
406,77708.91645931933
407,104792.81535755449
408,130647.73717742867
409,119313.84155318298
410,153045.89186283678
411,99852.34690271344
412,73208.01201243221
413,130357.2651982296
414,86529.0405474861
415,118252.42103613073
416,123714.5767787955
417,127148.84148288556
418,122879.62309479859
419,147670.5922459932
420,194915.14542546542
421,112982.44305711664
422,106731.79615521908
423,116077.55170225965
424,105049.65370853465
425,93549.84631312692
426,72030.44571526152
427,153253.83933877005
428,91682.3481881979
429,149821.6960464977
430,115481.50414442697
431,132872.57739039854
432,97143.59549710216
433,147516.5980838558
434,74873.34190476342
435,82036.40416943919
436,102418.0639085012
437,130859.87275049431
438,107441.01414580806
439,69368.80964220106
440,171756.85967864277
441,114248.38293002959
442,155781.32511411628
443,147857.6882543781
444,105016.17045852506
445,126088.41813824936
446,190778.11899466199
447,83909.27719625575
448,148424.73290569324
449,107011.46699572592
450,131757.24024677483
451,108337.90306658826
452,96951.7490156345
453,101309.58187037229
454,111579.06525305183
455,112016.90278601553
456,128717.05861806504
457,223864.88771319448
458,151291.9342058076
459,82522.55578503554
460,80852.04995890244
461,162168.6511277679
462,147909.19514459622
463,125615.55681580532
464,131492.172152475
465,150642.8228136988
466,89347.80246502624
467,106791.02508498923
468,158852.90422450437
469,111284.56083147196
470,107599.12582965048
471,114465.07807798847
472,78256.73828447035
473,103059.14980385396
474,136613.88576867952
475,83933.29317649255
476,99382.3700925208
477,84780.36900239474
478,121957.38004734428
479,138537.2089719089
480,76302.52383558034
481,105808.33558111658
482,120084.64008249105
483,116828.37166534066
484,133230.67012705648
485,146793.90439421564
486,185976.4194713515
487,106230.54845321695
488,123382.4209431216
489,91147.52794932008
490,128524.84052126705
491,94668.14032718899
492,130517.63514352957
493,110856.26679746222
494,133223.4731748436
495,158471.88347794785
496,100019.22112384836
497,111708.72236030016
498,98901.88012536512
499,126304.23054889191
500,142886.66984800532
501,104396.73894695655
502,116215.01681272955
503,92597.69820704286
504,114804.33138090573
505,132680.78500166215
506,116413.94842718638
507,144277.88883208617
508,105563.8267203239
509,186166.279006716
510,112952.62534429487
511,107409.06548029553
512,122171.56776306232
513,145081.42201633137
514,112142.77152862218
515,123638.57269396744
516,125096.38878957872
517,112058.66046281996
518,69613.02636337189
519,119786.6284162564
520,126615.86712817132
521,186957.64517702177
522,98165.30339199191
523,89804.46024656743
524,130029.64521858309
525,95729.69953204774
526,115236.39497533788
527,122281.05769201466
528,91650.61437159947
529,117869.31984917668
530,142866.35714917743
531,120881.93566414363
532,123363.19637461548
533,108544.37528264958
534,152593.82369679256
535,155973.55746969892
536,122810.82352611159
537,113098.24125537468
538,104030.96025705109
539,76760.72460506565
540,114489.1718793203
541,97788.45996217139
542,132576.65126704922
543,114935.7055195654
544,95540.42695609113
545,102619.91988025587
546,144204.1440642118
547,132133.49363571627
548,142035.84546677096
549,112927.80436807004
550,92516.46738231291
551,86378.91393453431
552,158385.12103525028
553,78655.76415889488
554,124786.16760420882
555,154858.47530599695
556,105679.98550777376
557,107158.33188188293
558,89349.92383175106
559,165615.20805046882
560,152194.27120090224
561,135241.1348307561
562,69360.30602368525
563,118320.86932924438
564,150376.71527284806
565,154114.0000705502
566,162192.41202996316
567,127990.58898418682
568,104569.5858457177
569,135097.4034104935
570,109430.0370052677
571,111619.95411796011
572,129204.40061680005
573,152839.44272913327
574,131680.9220264489
575,176155.79650318593
576,125026.2541887085
577,89144.24211176569
578,134113.64680209567
579,76053.32110940662
580,120260.31697201314
581,150324.77909488944
582,95999.59026327402
583,136022.81153676935
584,79302.78437346582
585,127842.29913407666
586,71766.37800720359
587,102308.2313634344
588,89725.73600859511
589,116521.80064802412
590,133480.42941395703
591,104591.25834793899
592,166599.3492308958
593,153772.19553855452
594,91432.12796189178
595,173465.00392349623
596,111103.3707297533
597,112019.18317327181
598,83482.28208144466
599,118169.18190386119
600,78907.53955999049
601,172760.58508369466
602,126612.74437955985
603,154680.3964341308
604,154228.6250814921
605,92520.92849082078
606,131905.36591846967
607,176121.7585643577
608,106826.7346924759
609,129123.59646816354
610,188760.3369604653
611,94510.73386429995
612,81934.67684255834
613,122013.42527088991
614,94503.6561102254
615,124089.50765918738
616,131752.67006422678
617,149522.6520449257
618,116220.44504898826
619,199814.27326750482
620,129886.71024285325
621,129460.0879274005
622,110766.06209867565
623,79721.60705973038
624,108878.5860487951
625,133009.48824955602
626,108913.51523767314
627,91929.39198524083
628,109995.21579078524
629,82696.37767684365
630,88114.0394721236
631,62003.67359169276
632,108128.18267481241
633,125961.81478872197
634,101096.76189003531
635,170006.5352211332
636,158744.3560488131
637,117397.63246635637
638,109121.65672637442
639,94175.85759121717
640,128345.32081510732
641,104707.44807973606
642,92760.74594944746
643,86883.46263579883
644,138946.17763300435
645,74978.37451270614
646,119544.16660301425
647,122559.38787916751
648,142258.81063021187
649,132710.42943193307
650,133806.4005034529
651,144097.37821313998
652,156979.1364457079
653,127784.08398222203
654,168866.32968008972
655,73624.01776971533
656,151546.79643040246
657,165828.26925476274
658,90592.58263249329
659,146855.43537749338
660,109515.28132785355
661,130835.67464693642
662,108394.92907069392
663,75709.18406689788
664,148580.62946137588
665,161948.86185784562
666,92704.59218272295
667,133313.34187274319
668,136928.0739259707
669,148425.226909298
